Liczba kandydatow o dlugosci : 	Liczba wszystkich wytworzonych podzialow 	Suma wszystkich grup 	Srednia liczba grup 	Suma wszystkich rekordow 	Srednia liczba rekordow 	Liczba wytworzonych podzialow po czyszczeniu kandydatów(pruning) 	Suma wszystkich grup po czyszczeniu kandydatów(pruning) 	Srednia liczba grup po czyszczeniu kandydatów(pruning) 	Suma wszystkich rekordow po czyszczeniu kandydatów(pruning) 	Srednia liczba rekordow po czyszczeniu kandydatów(pruning) 
16	120	10873	90.6083	232255	1935.46	120	10873	90.6083	232255	1935.46
120	560	145498	259.818	903128	1612.73	560	145498	259.818	903128	1612.73
560	1820	455295	250.162	1650805	907.036	1820	455295	250.162	1650805	907.036
1820	4368	537080	122.958	1624845	371.988	4368	537080	122.958	1624845	371.988
4368	8008	398146	49.7185	1120986	139.983	8008	398146	49.7185	1120986	139.983
8008	11440	226946	19.8414	608176	53.1715	11438	226928	19.8398	608138	53.1682
11438	12835	104285	8.46057	265490	21.539	12326	102735	8.33482	261858	21.2444
12326	8697	34906	5.31132	84587	12.8708	6572	29556	4.49726	71767	10.9201
6572	1305	4299	4.14961	9990	9.64286	1036	3619	3.49324	8468	8.17375
1036	52	177	3.84783	395	8.58696	46	159	3.45652	358	7.78261
46	1	1	1	2	2	1	1	1	2	2
1	0	0	nan	0	nan	0	0	nan	0	nan
