Liczba kandydatow o dlugosci : 	Liczba wszystkich wytworzonych podzialow 	Suma wszystkich grup 	Srednia liczba grup 	Suma wszystkich rekordow 	Srednia liczba rekordow 	Liczba wytworzonych podzialow po czyszczeniu kandydatów(pruning) 	Suma wszystkich grup po czyszczeniu kandydatów(pruning) 	Srednia liczba grup po czyszczeniu kandydatów(pruning) 	Suma wszystkich rekordow po czyszczeniu kandydatów(pruning) 	Srednia liczba rekordow po czyszczeniu kandydatów(pruning) 
16	120	16991	141.592	597839	4981.99	120	16991	141.592	597839	4981.99
120	560	402532	718.807	2684613	4793.95	560	402532	718.807	2684613	4793.95
560	1820	3590320	1972.7	7196265	3953.99	1820	3590320	1972.7	7196265	3953.99
1820	4368	13908966	3184.29	11606321	2657.12	4368	13908966	3184.29	11606321	2657.12
4368	8008	31135750	3888.08	13803524	1723.72	8008	31135750	3888.08	13803524	1723.72
8008	11440	48633156	4251.15	13719010	1199.21	11440	48633156	4251.15	13719010	1199.21
11440	12870	57298487	4452.1	11550333	897.462	12870	57298487	4452.1	11550333	897.462
12870	11440	52345350	4575.64	8091075	707.262	11440	52345350	4575.64	8091075	707.262
11440	7946	37019176	4827.12	4582215	597.498	7669	35741777	4660.55	4403492	574.194
7669	3896	18386795	5343.45	1871424	543.861	3441	16246503	4721.45	1642891	477.446
3441	1195	5693460	5432.69	487659	465.323	1048	4994117	4765.38	426341	406.814
1048	220	1055323	5025.35	78228	372.514	210	1007384	4797.07	74637	355.414
210	24	115693	4820.54	7617	317.375	24	115693	4820.54	7617	317.375
24	1	4838	4838	290	290	1	4838	4838	290	290
1	0	0	nan	0	nan	0	0	nan	0	nan
